trial,line_length,line_angle,stim_radius,stim_period,rating
0,220,48,225,225,100,68
1,80,48,225,225,100,11
2,120,48,225,225,100,24
3,60,48,225,225,100,9
4,140,48,225,225,100,45
5,40,48,225,225,100,0
6,100,48,225,225,100,18
7,180,48,225,225,100,57
8,160,48,225,225,100,36
9,200,48,225,225,100,79
10,60,48,225,225,100,17
11,160,48,225,225,100,45
12,200,48,225,225,100,46
13,40,48,225,225,100,0
14,100,48,225,225,100,23
15,180,48,225,225,100,71
16,120,48,225,225,100,40
17,80,48,225,225,100,4
18,140,48,225,225,100,42
19,220,48,225,225,100,59
20,40,48,225,225,100,0
21,220,48,225,225,100,59
22,180,48,225,225,100,44
23,80,48,225,225,100,19
24,120,48,225,225,100,18
25,60,48,225,225,100,5
26,200,48,225,225,100,54
27,160,48,225,225,100,39
28,140,48,225,225,100,31
29,100,48,225,225,100,29
30,220,64,225,225,100,18
31,220,72,225,225,100,13
32,220,80,225,225,100,18
33,220,16,225,225,100,2
34,220,32,225,225,100,39
35,220,56,225,225,100,60
36,220,48,225,225,100,73
37,220,40,225,225,100,86
38,220,8,225,225,100,0
39,220,24,225,225,100,62
40,220,24,225,225,100,63
41,220,40,225,225,100,79
42,220,56,225,225,100,30
43,220,80,225,225,100,16
44,220,72,225,225,100,19
45,220,16,225,225,100,0
46,220,64,225,225,100,15
47,220,8,225,225,100,0
48,220,32,225,225,100,44
49,220,48,225,225,100,80
50,220,32,225,225,100,79
51,220,80,225,225,100,14
52,220,16,225,225,100,55
53,220,24,225,225,100,48
54,220,64,225,225,100,19
55,220,8,225,225,100,0
56,220,72,225,225,100,22
57,220,48,225,225,100,71
58,220,56,225,225,100,59
59,220,40,225,225,100,83
60,220,40,370,370,100,51
61,220,40,220,220,100,5
62,220,40,280,280,100,61
63,220,40,310,310,100,28
64,220,40,340,340,100,21
65,220,40,250,250,100,18
66,220,40,250,250,100,38
67,220,40,280,280,100,77
68,220,40,340,340,100,56
69,220,40,220,220,100,12
70,220,40,370,370,100,63
71,220,40,310,310,100,23
72,220,40,370,370,100,23
73,220,40,280,280,100,11
74,220,40,310,310,100,51
75,220,40,220,220,100,36
76,220,40,340,340,100,69
77,220,40,250,250,100,29
78,220,40,280,280,140,25
79,220,40,280,280,80,47
80,220,40,280,280,120,34
81,220,40,280,280,70,59
82,220,40,280,280,130,24
83,220,40,280,280,110,15
84,220,40,280,280,90,47
85,220,40,280,280,100,43
86,220,40,280,280,60,56
87,220,40,280,280,50,41
88,220,40,280,280,100,48
89,220,40,280,280,120,32
90,220,40,280,280,130,17
91,220,40,280,280,80,74
92,220,40,280,280,110,53
93,220,40,280,280,50,32
94,220,40,280,280,60,42
95,220,40,280,280,90,67
96,220,40,280,280,70,59
97,220,40,280,280,140,29
98,220,40,280,280,50,20
99,220,40,280,280,110,50
100,220,40,280,280,60,23
101,220,40,280,280,70,19
102,220,40,280,280,80,31
103,220,40,280,280,120,65
104,220,40,280,280,140,24
105,220,40,280,280,100,52
106,220,40,280,280,90,72
107,220,40,280,280,130,20
